country,city,lat,lon,temp,max_temp,humid,cover,wind
CL,{'santiago'},-33.4569,-70.6483,65.53,67.44,23,20,4.61
GH,{'takoradi'},4.8845,-1.7554,77.2,77.2,82,36,10.71
GB,{'northam'},51.0333,-4.2167,60.46,65.39,95,100,10.96
CN,{'taiyuan'},37.8694,112.5603,67.86,67.86,73,100,2.24
RO,{'izvoarele sucevei'},47.75,25.1833,57.45,57.45,89,31,2.28
GF,{'sinnamary'},5.3833,-52.95,77.88,77.88,89,100,8.1
ML,{'kolondieba'},11.0882,-6.8926,75.63,75.63,87,100,5.77
ID,{'tual'},-5.6667,132.75,80.01,80.01,83,60,16.06
RU,{'berezovyy'},51.6667,135.7,51.55,51.55,83,17,3.67
CA,{'haines junction'},60.7522,-137.5108,55.35,55.35,62,100,1.14
PH,{'gigmoto'},13.7796,124.39,80.04,80.04,83,100,5.59
US,{'honolulu'},21.3069,-157.8583,81.81,82.56,73,90,1.99
ID,{'katobu'},-4.9408,122.5276,73.99,73.99,96,68,4.47
AU,{'hervey bay'},-25.2986,152.8535,62.04,62.04,83,100,5.5
MX,{'rosarito'},32.3333,-117.0333,83.57,98.67,69,19,9.35
JP,{'sakaiminato'},35.55,133.2333,71.58,71.58,94,75,3.44
IN,{'port blair'},11.6667,92.75,81.77,81.77,79,100,11.34
MG,{'beloha'},-25.1667,45.05,65.37,65.37,82,0,15.1
CF,{'bria'},6.5423,21.9863,70.57,70.57,96,100,2.64
SN,{'oussouye'},12.485,-16.5469,86.09,87.98,75,14,11.52
NA,{'henties bay'},-22.116,14.2845,59.86,59.86,89,99,7.27
SS,{'raga'},8.4596,25.678,69.73,69.73,99,100,4.9
CA,{'high level'},58.5169,-117.136,64.51,64.51,59,75,5.75
PT,{'ponta do sol'},32.6667,-17.1,74.84,75.83,79,5,1.79
ZA,{'saldanha'},-33.0117,17.9442,55.45,55.45,76,84,9.53
US,{'miles city'},46.4083,-105.8406,90.57,90.57,22,20,17.27
VE,{'san felipe'},10.3399,-68.7425,93.51,93.51,40,80,8.37
GT,{'champerico'},14.3,-91.9167,90.25,92.77,73,100,6.44
RU,{'vuktyl'},63.8567,57.3094,56.53,56.53,70,99,5.79
AO,{'luanda'},-8.8368,13.2343,73.4,73.4,88,40,10.36
BR,{'sao joao do piaui'},-8.3581,-42.2467,94.68,94.68,22,0,9.6
AZ,{'qabaqcol'},41.72,46.2647,89.64,89.64,32,100,5.28
